Timestamp,Class,Confidence
2026-08-27 23:45:15,bus,0.48
2026-08-27 23:45:16,bus,0.39
2026-08-27 23:45:16,bus,0.19
2026-08-27 23:45:16,bus,0.37
2026-08-27 23:45:16,bus,0.30
2026-08-27 23:45:16,bus,0.42
2026-08-27 23:45:16,bus,0.41
2026-08-27 23:45:16,bus,0.34
2026-08-27 23:45:17,bus,0.51
2026-08-27 23:45:17,bus,0.33
2026-08-27 23:45:17,bus,0.19
2026-08-27 23:45:17,bus,0.42
2026-08-27 23:45:17,bus,0.27
2026-08-27 23:45:17,bus,0.19
2026-08-27 23:45:17,bus,0.18
2026-08-27 23:45:17,truck,0.15
2026-08-27 23:45:18,bus,0.78
2026-08-27 23:45:18,bus,0.73
2026-08-27 23:45:19,bus,0.69
2026-08-27 23:45:19,bus,0.68
2026-08-27 23:45:19,bus,0.64
2026-08-27 23:45:20,bus,0.71
2026-08-27 23:45:20,bus,0.79
2026-08-27 23:45:20,bus,0.72
2026-08-27 23:45:20,bus,0.19
2026-08-27 23:45:20,bus,0.16
2026-08-27 23:45:21,bus,0.72
2026-08-27 23:45:21,bus,0.16
2026-08-27 23:45:21,bus,0.16
2026-08-27 23:45:21,bus,0.76
2026-08-27 23:45:21,bus,0.18
2026-08-27 23:45:22,bus,0.70
2026-08-27 23:45:22,bus,0.22
2026-08-27 23:45:22,bus,0.16
2026-08-27 23:45:22,bus,0.71
2026-08-27 23:45:22,bus,0.21
2026-08-27 23:45:22,bus,0.21
2026-08-27 23:45:23,bus,0.74
2026-08-27 23:45:23,bus,0.23
2026-08-27 23:45:23,bus,0.69
2026-08-27 23:45:23,bus,0.17
2026-08-27 23:45:23,bus,0.82
2026-08-27 23:45:24,bus,0.80
2026-08-27 23:45:24,bus,0.80
2026-08-27 23:45:25,bus,0.80
2026-08-27 23:45:25,bus,0.77
2026-08-27 23:45:26,bus,0.73
2026-08-27 23:45:26,bus,0.17
2026-08-27 23:45:26,bus,0.67
2026-08-27 23:45:26,bus,0.76
2026-08-27 23:45:27,bus,0.74
2026-08-27 23:45:27,bus,0.74
2026-08-27 23:45:28,bus,0.76
2026-08-27 23:45:28,bus,0.77
2026-08-27 23:45:28,bus,0.75
2026-08-27 23:45:29,bus,0.80
2026-08-27 23:45:29,bus,0.80
2026-08-27 23:45:30,bus,0.78
2026-08-27 23:45:30,bus,0.69
2026-08-27 23:45:31,bus,0.73
2026-08-27 23:45:31,bus,0.43
2026-08-27 23:45:31,bus,0.71
2026-08-27 23:45:31,bus,0.66
2026-08-27 23:45:31,bus,0.18
2026-08-27 23:45:32,bus,0.68
2026-08-27 23:45:32,bus,0.25
2026-08-27 23:45:32,bus,0.71
2026-08-27 23:45:32,bus,0.31
2026-08-27 23:45:33,bus,0.76
2026-08-27 23:45:33,bus,0.66
2026-08-27 23:45:33,bus,0.72
2026-08-27 23:45:34,bus,0.78
2026-08-27 23:45:35,bus,0.81
2026-08-27 23:45:35,bus,0.78
2026-08-27 23:45:35,bus,0.78
2026-08-27 23:45:36,bus,0.42
2026-08-27 23:45:36,bus,0.17
2026-08-27 23:45:36,bus,0.68
2026-08-27 23:45:37,bus,0.75
2026-08-27 23:45:37,bus,0.83
2026-08-27 23:45:37,bus,0.78
2026-08-27 23:45:38,bus,0.75
2026-08-27 23:45:38,bus,0.80
2026-08-27 23:45:38,bus,0.76
2026-08-27 23:45:39,bus,0.77
2026-08-27 23:45:39,truck,0.33
2026-08-27 23:45:39,bus,0.65
2026-08-27 23:45:39,bus,0.24
2026-08-27 23:45:40,bus,0.73
2026-08-27 23:45:40,bus,0.33
2026-08-27 23:45:40,bus,0.20
2026-08-27 23:45:40,bus,0.68
2026-08-27 23:45:40,bus,0.22
2026-08-27 23:45:40,bus,0.17
2026-08-27 23:45:40,bus,0.69
2026-08-27 23:45:41,bus,0.29
2026-08-27 23:45:41,bus,0.17
2026-08-27 23:45:41,bus,0.66
2026-08-27 23:45:41,bus,0.16
2026-08-27 23:45:41,bus,0.72
2026-08-27 23:45:41,bus,0.22
2026-08-27 23:45:42,bus,0.77
2026-08-27 23:45:42,bus,0.19
2026-08-27 23:45:42,bus,0.79
2026-08-27 23:45:42,bus,0.15
2026-08-27 23:45:43,bus,0.76
2026-08-27 23:45:43,bus,0.23
2026-08-27 23:45:43,bus,0.82
2026-08-27 23:45:43,bus,0.58
2026-08-27 23:45:43,truck,0.42
2026-08-27 23:49:27,car,0.46
2026-08-27 23:49:27,ambulance,0.21
2026-08-27 23:49:27,fire engine,0.16
2026-08-27 23:49:28,car,0.32
2026-08-27 23:49:28,car,0.16
2026-08-27 23:49:29,car,0.57
2026-08-27 23:49:30,car,0.31
2026-08-27 23:49:30,car,0.24
2026-08-27 23:49:31,car,0.21
2026-08-27 23:49:31,car,0.26
2026-08-27 23:49:32,car,0.46
2026-08-27 23:49:33,car,0.43
2026-08-27 23:49:34,police car,0.30
2026-08-27 23:49:34,ambulance,0.24
2026-08-27 23:49:34,ambulance,0.38
2026-08-27 23:49:35,ambulance,0.39
2026-08-27 23:49:35,ambulance,0.41
2026-08-27 23:49:36,ambulance,0.42
2026-08-27 23:49:36,ambulance,0.40
2026-08-27 23:49:36,ambulance,0.37
2026-08-27 23:49:37,ambulance,0.37
2026-08-27 23:49:37,ambulance,0.38
2026-08-27 23:49:38,ambulance,0.37
2026-08-27 23:49:38,ambulance,0.43
2026-08-27 23:49:38,ambulance,0.36
2026-08-27 23:49:39,ambulance,0.22
2026-08-27 23:49:39,car,0.23
2026-08-27 23:49:40,car,0.23
2026-08-27 23:49:40,car,0.16
2026-08-27 23:49:41,car,0.26
2026-08-27 23:49:41,ambulance,0.16
2026-08-27 23:49:42,ambulance,0.20
2026-08-27 23:49:42,car,0.38
2026-08-27 23:49:42,ambulance,0.21
2026-08-27 23:49:43,car,0.66
2026-08-27 23:49:43,ambulance,0.21
2026-08-27 23:49:43,ambulance,0.27
2026-08-27 23:49:44,ambulance,0.35
2026-08-27 23:49:44,ambulance,0.41
2026-08-27 23:49:44,fire engine,0.22
2026-08-27 23:49:45,ambulance,0.40
2026-08-27 23:49:45,fire engine,0.24
2026-08-27 23:49:45,ambulance,0.35
2026-08-27 23:49:45,ambulance,0.32
2026-08-27 23:49:45,fire engine,0.30
2026-08-27 23:49:46,ambulance,0.38
2026-08-27 23:49:46,fire engine,0.35
2026-08-27 23:49:46,ambulance,0.37
2026-08-27 23:49:46,fire engine,0.23
2026-08-27 23:49:46,ambulance,0.36
2026-08-27 23:49:47,ambulance,0.35
2026-08-27 23:49:47,fire engine,0.22
2026-08-27 23:49:47,ambulance,0.33
2026-08-27 23:49:47,fire engine,0.19
2026-08-27 23:49:48,ambulance,0.27
2026-08-27 23:49:48,fire engine,0.19
2026-08-27 23:49:48,car,0.52
2026-08-27 23:49:54,motorcycle,0.16
2026-08-27 23:49:54,motorcycle,0.16
2026-08-27 23:49:56,motorcycle,0.15
2026-08-27 23:49:56,motorcycle,0.20
2026-08-27 23:50:00,car,0.24
2026-08-27 23:50:00,car,0.16
2026-08-27 23:50:01,car,0.22
2026-08-27 23:50:02,ambulance,0.23
2026-08-27 23:50:02,ambulance,0.30
2026-08-27 23:50:02,ambulance,0.23
2026-08-27 23:50:03,ambulance,0.18
2026-08-27 23:50:03,ambulance,0.31
2026-08-27 23:50:04,ambulance,0.20
2026-08-27 23:50:04,ambulance,0.20
2026-08-27 23:50:04,ambulance,0.17
2026-08-27 23:50:05,ambulance,0.17
2026-08-27 23:50:05,ambulance,0.23
2026-08-27 23:50:06,ambulance,0.16
2026-08-27 23:50:06,ambulance,0.20
2026-08-27 23:50:07,fire engine,0.27
2026-08-27 23:50:07,ambulance,0.24
2026-08-27 23:50:07,car,0.17
2026-08-27 23:50:07,ambulance,0.24
2026-08-27 23:50:09,car,0.23
2026-08-27 23:50:09,car,0.18
2026-08-27 23:50:10,car,0.46
2026-08-27 23:50:10,car,0.68
2026-08-27 23:50:11,car,0.54
2026-08-27 23:50:11,car,0.19
2026-08-27 23:50:11,car,0.64
2026-08-27 23:50:11,car,0.69
2026-08-27 23:50:12,car,0.62
2026-08-27 23:50:12,car,0.52
2026-08-27 23:50:13,car,0.73
2026-08-27 23:50:13,car,0.66
2026-08-27 23:50:13,car,0.59
2026-08-27 23:50:14,car,0.53
2026-08-27 23:50:14,car,0.66
2026-08-27 23:50:15,car,0.60
2026-08-27 23:50:15,car,0.62
2026-08-27 23:50:15,car,0.66
2026-08-27 23:50:16,car,0.71
2026-08-27 23:50:16,car,0.61
2026-08-27 23:50:17,car,0.66
2026-08-27 23:50:17,car,0.57
2026-08-27 23:50:17,car,0.43
2026-08-27 23:50:24,car,0.59
2026-08-27 23:50:24,car,0.67
2026-08-27 23:50:25,car,0.40
2026-08-27 23:50:25,car,0.61
2026-08-27 23:50:26,car,0.38
2026-08-27 23:50:26,car,0.50
2026-08-27 23:50:26,car,0.53
2026-08-27 23:50:27,car,0.29
2026-08-27 23:50:27,car,0.26
2026-08-27 23:50:27,car,0.49
2026-08-27 23:50:28,car,0.21
2026-08-27 23:50:28,car,0.54
2026-08-27 23:50:28,car,0.63
2026-08-27 23:50:29,car,0.50
2026-08-27 23:50:29,car,0.64
2026-08-27 23:50:30,car,0.34
2026-08-27 23:50:30,car,0.20
2026-08-27 23:50:30,car,0.67
2026-08-27 23:50:30,car,0.59
2026-08-27 23:50:31,car,0.61
2026-08-27 23:50:31,car,0.68
2026-08-27 23:50:32,car,0.59
2026-08-27 23:50:32,car,0.46
2026-08-27 23:50:32,car,0.51
2026-08-27 23:50:33,car,0.51
2026-08-27 23:50:33,car,0.63
2026-08-27 23:50:33,car,0.66
2026-08-27 23:50:34,car,0.62
2026-08-27 23:50:40,car,0.34
2026-08-27 23:50:41,fire engine,0.31
2026-08-27 23:50:41,fire engine,0.22
2026-08-27 23:50:41,fire engine,0.18
2026-08-27 23:50:42,fire engine,0.23
2026-08-27 23:50:42,fire engine,0.20
2026-08-27 23:50:43,fire engine,0.18
2026-08-27 23:50:43,fire engine,0.16
2026-08-27 23:50:44,fire engine,0.19
2026-08-27 23:50:44,fire engine,0.17
2026-08-27 23:50:46,fire engine,0.26
2026-08-27 23:50:47,fire engine,0.15
2026-08-27 23:50:47,car,0.15
2026-08-27 23:50:48,car,0.22
2026-08-27 23:50:48,car,0.20
2026-08-27 23:50:48,car,0.51
2026-08-27 23:50:49,car,0.16
2026-08-27 23:50:49,fire engine,0.16
2026-08-27 23:50:50,fire engine,0.21
2026-08-27 23:50:50,fire engine,0.16
2026-08-27 23:50:50,fire engine,0.24
2026-08-27 23:50:51,fire engine,0.16
2026-08-27 23:50:51,fire engine,0.15
2026-08-27 23:50:51,fire engine,0.17
2026-08-27 23:50:52,fire engine,0.18
2026-08-27 23:50:52,fire engine,0.22
2026-08-27 23:50:53,fire engine,0.26
2026-08-27 23:50:53,fire engine,0.16
2026-08-27 23:50:54,car,0.15
2026-08-27 23:50:54,car,0.17
2026-08-27 23:50:54,car,0.22
2026-08-27 23:50:55,car,0.19
2026-08-27 23:50:56,car,0.16
2026-08-27 23:50:56,car,0.17
2026-08-27 23:50:57,car,0.17
2026-08-27 23:50:57,car,0.22
2026-08-27 23:50:58,car,0.18
2026-08-27 23:50:58,car,0.25
2026-08-27 23:50:59,car,0.59
2026-08-27 23:51:00,car,0.20
2026-08-27 23:51:00,car,0.18
2026-08-27 23:51:02,car,0.37
2026-08-27 23:51:06,car,0.34
2026-08-27 23:51:06,car,0.25
2026-08-27 23:51:06,fire engine,0.16
2026-08-27 23:51:08,car,0.16
2026-08-27 23:51:09,car,0.17
2026-08-27 23:51:09,car,0.15
2026-08-27 23:51:13,car,0.15
2026-08-27 23:51:14,fire engine,0.16
2026-08-27 23:51:16,fire engine,0.18
2026-08-27 23:51:16,fire engine,0.18
2026-08-27 23:51:17,car,0.37
2026-08-27 23:51:17,car,0.22
2026-08-27 23:51:17,car,0.21
2026-08-27 23:51:17,car,0.23
2026-08-27 23:51:17,car,0.15
2026-08-27 23:51:18,car,0.34
2026-08-27 23:51:19,car,0.52
2026-08-27 23:51:19,car,0.24
2026-08-27 23:51:19,car,0.23
2026-08-27 23:51:20,car,0.15
2026-08-27 23:51:20,car,0.19
2026-08-27 23:51:21,car,0.21
2026-08-27 23:51:21,car,0.20
2026-08-27 23:51:21,car,0.17
2026-08-27 23:51:26,car,0.32
2026-08-27 23:51:27,car,0.19
2026-08-27 23:51:28,car,0.27
2026-08-27 23:51:28,car,0.17
2026-08-27 23:51:29,car,0.29
2026-08-27 23:51:29,car,0.21
2026-08-27 23:51:29,car,0.18
2026-08-27 23:51:30,car,0.24
2026-08-27 23:51:30,car,0.16
2026-08-27 23:55:33,ambulance,0.69
2026-08-27 23:55:33,ambulance,0.69
2026-08-27 23:55:34,ambulance,0.70
2026-08-27 23:55:34,ambulance,0.74
2026-08-27 23:55:35,ambulance,0.55
2026-08-27 23:55:35,ambulance,0.76
2026-08-27 23:55:36,ambulance,0.77
2026-08-27 23:55:36,ambulance,0.63
2026-08-27 23:55:37,car,0.31
2026-08-27 23:55:38,ambulance,0.51
2026-08-27 23:55:38,car,0.19
2026-08-27 23:55:39,ambulance,0.71
2026-08-27 23:55:40,ambulance,0.75
2026-08-27 23:55:40,ambulance,0.89
2026-08-27 23:55:40,ambulance,0.70
2026-08-27 23:55:41,ambulance,0.75
2026-08-27 23:55:41,ambulance,0.66
2026-08-27 23:55:42,ambulance,0.71
2026-08-27 23:55:42,ambulance,0.70
2026-08-27 23:55:42,ambulance,0.65
2026-08-27 23:55:43,ambulance,0.68
2026-08-27 23:55:43,fire engine,0.27
2026-08-27 23:55:43,ambulance,0.72
2026-08-27 23:55:44,ambulance,0.74
2026-08-27 23:55:44,ambulance,0.80
2026-08-27 23:55:45,ambulance,0.73
2026-08-27 23:55:45,ambulance,0.63
2026-08-27 23:55:45,ambulance,0.70
2026-08-27 23:55:46,ambulance,0.69
2026-08-27 23:55:46,ambulance,0.79
